x,y,z
0,0,0.07497945207974199
0,1,0.07497316536135834
0,2,0.07498740585547825
0,3,0.07499005363665434
0,4,0.07498088044214857
0,5,0.07495336573603861
0,6,0.0749497624504798
0,7,0.07492360162472744
0,8,0.07493078174868506
0,9,0.07493623530957638
0,10,0.07496493289910022
0,11,0.07499243746917728
0,12,0.07495668763813645
0,13,0.07493238844215533
0,14,0.07494682333883151
0,15,0.07497572308655265
0,16,0.07499127641474024
0,17,0.07497471234672792
0,18,0.07495043945676994
0,19,0.07496872290436274
0,20,0.07499952669885523
0,21,0.07496889888927605
0,22,0.07495731939628358
0,23,0.07497690936255985
0,24,0.07498660347662245
0,25,0.07496137849107942
0,26,0.07495669004741812
0,27,0.07499330270116777
0,28,0.07499787256382673
0,29,0.07498734675941598
0,30,0.07501351717054128
0,31,0.07501704755566774
0,32,0.07498900763862881
0,33,0.07501779354410631
0,34,0.07502951380529499
0,35,0.07501277806220186
0,36,0.07502955728674232
0,37,0.07503597120369232
0,38,0.07502157309473523
0,39,0.07502060958490953
0,40,0.07504383327620179
0,41,0.07503989930599086
0,42,0.07503703028985242
0,43,0.07504927973984188
0,44,0.07502344368645808
0,45,0.07501540032973653
0,46,0.07501368602956271
0,47,0.07500572357831192
0,48,0.07502070252879589
0,49,0.07500636247880621
0,50,0.07500636247880665
0,51,0.07502070252879678
0,52,0.07500572357831237
0,53,0.0750136860295636
0,54,0.07501540032973608
0,55,0.07502344368645764
0,56,0.07504927973984143
0,57,0.07503703028985154
0,58,0.07503989930599042
0,59,0.07504383327619957
0,60,0.07502060958490908
0,61,0.07502157309473434
0,62,0.07503597120369321
0,63,0.07502955728674232
0,64,0.07501277806220141
0,65,0.07502951380529499
0,66,0.07501779354410765
0,67,0.07498900763862659
0,68,0.07501704755566863
0,69,0.07501351717054039
0,70,0.0749873467594151
0,71,0.07499787256382762
0,72,0.07499330270116777
0,73,0.07495669004741679
0,74,0.07496137849108164
0,75,0.07498660347662289
0,76,0.07497690936256118
0,77,0.07495731939628403
0,78,0.07496889888927605
0,79,0.07499952669885435
0,80,0.0749687229043623
0,81,0.0749504394567686
0,82,0.07497471234672881
0,83,0.07499127641474068
0,84,0.07497572308655309
0,85,0.07494682333883107
0,86,0.074932388442158
0,87,0.07495668763813734
0,88,0.0749924374691795
0,89,0.07496493289910333
0,90,0.07493623530957727
0,91,0.07493078174868506
0,92,0.07492360162472655
0,93,0.07494976245047935
0,94,0.07495336573603906
0,95,0.07498088044214812
0,96,0.07499005363665434
0,97,0.07498740585548003
0,98,0.07497316536135923
0,99,0.07497945207974288
0,99,0.07497945207974288
1,0,0.07497179060892223
1,1,0.07497790516184621
1,2,0.0749899210727647
1,3,0.07500433669296114
1,4,0.07498321346282233
1,5,0.07496095240436706
1,6,0.07493784415404203
1,7,0.07492096153918859
1,8,0.0749112852026732
1,9,0.07493533715177692
1,10,0.07497794296644078
1,11,0.07498792876688087
1,12,0.07496030044612212
1,13,0.07493545652695044
1,14,0.07494523489770222
1,15,0.07498150797221248
1,16,0.07498480723890033
1,17,0.07496086358873066
1,18,0.07494919109921616
1,19,0.07497176759473323
1,20,0.0749912150974581
1,21,0.0749670028374605
1,22,0.07496033967460791
1,23,0.07498472673011936
1,24,0.07499314598827689
1,25,0.07497389329044091
1,26,0.0749733039999303
1,27,0.07499806150662236
1,28,0.07500492657985514
1,29,0.07499734965341243
1,30,0.07500584805330623
1,31,0.07501095098328503
1,32,0.0749998979926203
1,33,0.07501652355377875
1,34,0.0750321175988915
1,35,0.07502933525128319
1,36,0.07504167745488766
1,37,0.0750470853601013
1,38,0.07503275481147265
1,39,0.07502556398436266
1,40,0.07503813319265329
1,41,0.07503870830107418
1,42,0.07503061163782943
1,43,0.07503281326202149
1,44,0.07502243715341295
1,45,0.07501290696567198
1,46,0.0750085472489812
1,47,0.07500700980587904
1,48,0.07501287681813307
1,49,0.07500300551297934
1,50,0.07500300551297956
1,51,0.07501287681813373
1,52,0.07500700980587949
1,53,0.07500854724898187
1,54,0.07501290696567242
1,55,0.07502243715341295
1,56,0.07503281326202194
1,57,0.07503061163782965
1,58,0.07503870830107373
1,59,0.07503813319265262
1,60,0.07502556398436244
1,61,0.07503275481147287
1,62,0.07504708536010152
1,63,0.07504167745488743
1,64,0.07502933525128341
1,65,0.07503211759889172
1,66,0.0750165235537783
1,67,0.07499989799262008
1,68,0.0750109509832857
1,69,0.07500584805330734
1,70,0.07499734965341154
1,71,0.07500492657985491
1,72,0.07499806150662236
1,73,0.07497330399993007
1,74,0.07497389329044024
1,75,0.07499314598827689
1,76,0.07498472673012024
1,77,0.07496033967460702
1,78,0.07496700283746138
1,79,0.07499121509745765
1,80,0.07497176759473434
1,81,0.07494919109921705
1,82,0.07496086358873
1,83,0.07498480723890011
1,84,0.0749815079722127
1,85,0.07494523489770177
1,86,0.07493545652695088
1,87,0.07496030044612101
1,88,0.07498792876688065
1,89,0.07497794296644233
1,90,0.07493533715177692
1,91,0.07491128520267343
1,92,0.07492096153918837
1,93,0.07493784415404225
1,94,0.07496095240436729
1,95,0.07498321346282144
1,96,0.07500433669296025
1,97,0.07498992107276448
1,98,0.07497790516184688
1,99,0.07497179060892267
1,99,0.07497179060892267
2,0,0.07494997818142668
2,1,0.07497601219024008
2,2,0.07500369874184099
2,3,0.07501463485294746
2,4,0.07499686219621293
2,5,0.07496355010019395
2,6,0.07493474783310505
2,7,0.07490828908213554
2,8,0.07490405235314501
2,9,0.07493698494890189
2,10,0.074972800976421
2,11,0.07497320220296566
2,12,0.07496119920006872
2,13,0.07494378220939413
2,14,0.07495732002201105
2,15,0.07497729754704707
2,16,0.0749749019353303
2,17,0.0749577265136323
2,18,0.07495263832642785
2,19,0.07496478341284885
2,20,0.07497334465262995
2,21,0.07498090794093915
2,22,0.07498661360618786
2,23,0.07499624346219935
2,24,0.07499255145407924
2,25,0.07499692585751694
2,26,0.07499629863473234
2,27,0.0749999364330387
2,28,0.07500772394757749
2,29,0.07500674317116829
2,30,0.0750030698156745
2,31,0.07499857066096394
2,32,0.075016030656617
2,33,0.07502198856111364
2,34,0.0750346816955656
2,35,0.07505565704613204
